#graph_name          	     nodes	     edges	 treewidth
Easynet              	        19	        26	         3
Eenet                	        13	        13	         2
EliBackbone          	        20	        30	         3
Epoch                	         6	         7	         2
Ernet                	        30	        32	         2
Esnet                	        68	        79	         3
Eunetworks           	        15	        16	         2
Evolink              	        37	        45	         2
Fatman               	        17	        21	         2
Fccn                 	        23	        25	         2
Forthnet             	        62	        62	         2
Funet                	        26	        30	         3
Gambia               	        28	        28	         2
Garr199901           	        16	        18	         3
Garr199904           	        23	        25	         3
Garr199905           	        23	        25	         3
Garr200109           	        22	        24	         3
Garr200112           	        24	        26	         3
Garr200212           	        27	        28	         2
Garr200404           	        22	        24	         3
Garr200902           	        54	        68	         3
Garr200908           	        54	        68	         3
Garr200909           	        55	        69	         3
Garr200912           	        54	        68	         3
Garr201001           	        54	        68	         3
Garr201003           	        54	        68	         3
Garr201004           	        54	        68	         3
Garr201005           	        55	        69	         3
Garr201007           	        55	        69	         3
Garr201008           	        55	        69	         3
Garr201010           	        56	        70	         3
Garr201012           	        56	        70	         3
Garr201101           	        56	        70	         3
Garr201102           	        57	        71	         3
Garr201103           	        58	        72	         3
Garr201104           	        59	        74	         3
Garr201105           	        59	        74	         3
Garr201107           	        59	        74	         3
Garr201108           	        59	        74	         3
Garr201109           	        59	        74	         3
Garr201110           	        59	        74	         3
Garr201111           	        60	        74	         3
Garr201112           	        61	        75	         3
Garr201201           	        61	        75	         3
Gblnet               	         8	         7	         1
Geant2001            	        27	        38	         3
Geant2009            	        34	        52	         4
Geant2010            	        37	        56	         4
Geant2012            	        40	        61	         4
Getnet               	         7	         8	         2
Globalcenter         	         9	        36	         8
Globenet             	        67	        95	         4
Goodnet              	        17	        31	         4
Grena                	        16	        15	         1
Gridnet              	         9	        20	         4
Grnet                	        37	        42	         2
GtsCe                	       149	       193	         4
GtsCzechRepublic     	        32	        33	         2
GtsHungary           	        30	        31	         2
GtsPoland            	        33	        37	         3
GtsRomania           	        21	        24	         2
GtsSlovakia          	        35	        37	         2
Harnet               	        21	        23	         2
Heanet               	         7	        11	         2
HiberniaCanada       	        13	        14	         2
HiberniaGlobal       	        55	        81	         4
HiberniaIreland      	         8	         8	         2
HiberniaNireland     	        18	        21	         2
HiberniaUk           	        15	        15	         2
HiberniaUs           	        22	        29	         3
Highwinds            	        18	        31	         4
HostwayInternational 	        16	        21	         2
HurricaneElectric    	        24	        37	         3
Ibm                  	        18	        24	         4
Iij                  	        37	        65	         3
Iinet                	        31	        35	         3
Ilan                 	        14	        15	         2
Integra              	        27	        36	         3
Intellifiber         	        73	        95	         3
Internetmci          	        19	        33	         3
Internode            	        66	        77	         3
Interoute            	       110	       146	         4
Intranetwork         	        39	        51	         2
Ion                  	       125	       146	         3
IowaStatewideFiberMap	        33	        41	         3
Iris                 	        51	        64	         3
Istar                	        23	        23	         2
Itnet                	        11	        10	         1
JanetExternal        	        12	        10	         1
Janetbackbone        	        29	        45	         3
Janetlense           	        20	        34	         2
Jgn2Plus             	        18	        17	         1
Karen                	        25	        28	         2
Kdl                  	       754	       895	         7
KentmanApr2007       	        23	        23	         2
KentmanAug2005       	        28	        29	         2
KentmanFeb2008       	        26	        27	         2
KentmanJan2011       	        38	        38	         2
KentmanJul2005       	        16	        17	         2
Kreonet              	        13	        12	         1
LambdaNet            	        42	        46	         2
Latnet               	        69	        74	         2
Layer42              	         6	         7	         2
Litnet               	        43	        43	         2
Marnet               	        20	        27	         2
Marwan               	        16	        17	         2
Missouri             	        67	        83	         3
Mren                 	         6	         5	         1
Myren                	        37	        39	         2
Napnet               	         6	         7	         2
Navigata             	        13	        17	         3
Netrail              	         7	        10	         2
NetworkUsa           	        35	        39	         2
Nextgen              	        17	        19	         2
Niif                 	        36	        41	         2
Noel                 	        19	        25	         2
Nordu1989            	         7	         6	         1
Nordu1997            	        14	        13	         1
Nordu2005            	         9	         9	         2
Nordu2010            	        18	        17	         2
Nsfcnet              	        10	        10	         2
Nsfnet               	        13	        15	         3
Ntelos               	        48	        58	         3
Ntt                  	        47	        63	         5
Oteglobe             	        93	       103	         3
Oxford               	        20	        26	         3
Pacificwave          	        18	        22	         2
Packetexchange       	        21	        27	         2
Padi                 	        15	         6	         1
Palmetto             	        45	        64	         4
Peer1                	        16	        20	         3
Pern                 	       127	       129	         2
PionierL1            	        36	        41	         3
PionierL3            	        38	        45	         3
Psinet               	        24	        25	         2
Quest                	        20	        31	         3
RedBestel            	        84	        93	         3
Rediris              	        19	        31	         3
Renam                	         5	         4	         1
Renater1999          	        24	        23	         1
Renater2001          	        24	        27	         2
Renater2004          	        30	        36	         2
Renater2006          	        33	        43	         2
Renater2008          	        33	        43	         2
Renater2010          	        43	        56	         3
Restena              	        19	        21	         2
Reuna                	        37	        36	         1
Rhnet                	        16	        18	         2
Rnp                  	        31	        34	         2
Roedunet             	        42	        46	         2
RoedunetFibre        	        48	        52	         3
Sago                 	        18	        17	         1
Sanet                	        43	        45	         2
Sanren               	         7	         7	         2
Savvis               	        19	        20	         2
Shentel              	        28	        35	         3
Sinet                	        74	        76	         2
Singaren             	        11	        10	         1
Spiralight           	        15	        16	         2
Sprint               	        11	        18	         3
Sunet                	        26	        32	         3
Surfnet              	        50	        68	         3
Switch               	        74	        92	         3
SwitchL3             	        42	        63	         4
Syringa              	        74	        74	         2
TLex                 	        12	        13	         2
TataNld              	       145	       186	         5
Telcove              	        73	        70	         1
Telecomserbia        	         6	         6	         2
Tinet                	        53	        89	         4
Tw                   	        76	       115	         4
Twaren               	        20	        20	         2
Ulaknet              	        82	        82	         2
UniC                 	        25	        27	         2
Uninet               	        13	        18	         2
Uninett2010          	        74	       101	         4
Uninett2011          	        69	        96	         4
Uran                 	        24	        24	         2
UsCarrier            	       158	       189	         3
UsSignal             	        63	        78	         3
Uunet                	        49	        84	         5
Vinaren              	        25	        26	         2
VisionNet            	        24	        23	         1
VtlWavenet2008       	        88	        92	         2
VtlWavenet2011       	        92	        96	         2
WideJpn              	        30	        33	         2
Xeex                 	        24	        34	         3
Xspedius             	        34	        49	         4
York                 	        23	        24	         2
Zamren               	        36	        34	         1
